Dates,CUB.NS Y,HDFCBANK.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of HDFCBANK.NS X,Effective Margin of CUB.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of CUB.NS X,Effective Investment of CUB.NS Y,Multiplier X,Multiplier Y
2022-10-04,172.89999389648438,1453.0,0.9573461353087224,16.718856688489325,156.18113720799505,,,,,,,,,,,,,,,,
2022-10-06,171.39999389648438,1437.0,0.9164561690584592,16.017010501598293,155.38298339488608,,,,,,,,,,,,,,,,
2022-10-07,179.0,1430.800048828125,1.36517001591208,23.90152048338308,155.09847951661692,,,,,,,,,,,,,,,,
2022-10-10,179.0,1415.0,1.4072489147535905,24.68137367792434,154.31862632207566,,,,,,,,,,,,,,,,
2022-10-11,176.64999389648438,1400.6500244140625,1.3117129962186331,23.039017663348005,153.61097623313637,,,,,,,,,,,,,,,,
2022-10-12,185.1499938964844,1409.800048828125,1.7586113135222616,30.988795099297874,154.1611987971865,,,,,,,,,,,,,,,,
2022-10-13,182.0,1393.5999755859375,1.6173373298491056,28.56779308868977,153.43220691131023,,,,,,,,,,,,,,,,
2022-10-14,184.0500030517578,1439.0,1.594419480201246,28.249448118855724,155.8005549329021,,,,,,,,,,,,,,,,
2022-10-17,193.1000061035156,1446.550048828125,2.070225466274205,36.841024617895215,156.2589814856204,,,,,,,,,,,,,,,,
2022-10-18,193.3500061035156,1443.8499755859375,2.079648331615716,37.167265070634016,156.1827410328816,,,,,,,,,,,,,,,,
2022-10-19,193.1999969482422,1458.6500244140625,2.01754068227296,36.20602483346576,156.99397211477643,,,,,,,,,,,,,,,,
2022-10-20,187.1000061035156,1448.800048828125,1.697291704029206,30.547100635776616,156.552905467739,,,,,,,,,,,,,,,,
2022-10-21,185.4499969482422,1438.5999755859375,1.627183761414882,29.36150840919225,156.08848853904993,,,,,,,,,,,,,,,,
2022-10-24,187.0500030517578,1461.050048828125,1.6453837461897112,29.77228401098785,157.27771904076997,,,,,,,,,,,,,,,,
2022-10-25,186.75,1450.9000244140625,1.6506923616970215,29.946539516145265,156.80346048385474,,,,,,,,,,,,,,,,
2022-10-27,188.4499969482422,1454.4000244140625,1.7276544384720836,31.429048908485925,157.02094803975626,,,,,,,,,,,,,,,,
2022-10-28,187.75,1458.699951171875,1.6704997130283707,30.46783720728598,157.28216279271402,,,,,,,,,,,,,,,,
2022-10-31,186.0,1496.699951171875,1.459115130083122,26.66394394146872,159.33605605853128,,,,,,,,,,,,,,,,
2022-11-01,185.75,1513.25,1.3908279827159589,25.45949424011357,160.29050575988643,,,,,,,,,,,,,,,,
2022-11-02,186.3000030517578,1514.199951171875,1.4111514405924497,25.87784811707229,160.42215493468552,,,,,,,,,,,,,,,,
2022-11-03,187.75,1507.550048828125,1.5031566487064612,27.617255944707324,160.13274405529268,,,,,,,,,,,,,,,,
2022-11-04,190.0500030517578,1497.1500244140625,1.6524613209476664,30.433765420292676,159.61623763146514,,,,,,,,,,,,,,,,
2022-11-07,196.25,1508.800048828125,1.9419163190111024,35.8737858001378,160.3762141998622,,,,,,,,,,,,,,,,
2022-11-09,193.3500061035156,1508.3499755859375,1.7780493589932782,32.92030736836992,160.4296987351457,,,,,,,,,,,,,,,,
2022-11-10,192.6499938964844,1524.75,1.6832193133690954,31.143188611972164,161.5068052845122,,,,,,,,,,,,,,,,
2022-11-11,189.6999969482422,1611.1500244140625,1.22848307018717,22.64321129105633,167.05678565718586,,,,,,,,,,,,,,,,
2022-11-14,184.6000061035156,1615.050048828125,0.9294826181113556,17.107283831169582,167.49272227234604,,,,,,,,,,,,,,,,
2022-11-15,190.0500030517578,1619.0,1.198447367669693,22.04094275145647,168.00906030030134,,,,,,,,,,,,,,,,
2022-11-16,189.5500030517578,1632.9000244140625,1.1063691064155416,20.28084584867412,169.2691572030837,,,,,,,,,,,,,,,,
2022-11-17,187.6000061035156,1618.1500244140625,1.0436148693166845,19.08932200771619,168.51068409579943,,,,,,,,,,,,,,,,
2022-11-18,182.6999969482422,1613.9000244140625,0.7865474715916635,14.347801320015575,168.3521956282266,,,,,,,,,,,,,,,,
2022-11-21,183.5500030517578,1597.3499755859375,0.8957506719992486,16.264665892705068,167.28533715905274,,,,,,,,,,,,,,,,
